contentId,locale,productFamily,productVersion,redirectPatternId,redirectUrl
ms400678,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#acl
ms400678,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#acl
ms400678,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#acl
ms400678,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#acl
ms400698,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#g
ms400698,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#g
ms400698,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#g
ms400698,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#g
ms400698,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#g
ms400759,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gplus
ms400759,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gplus
ms400759,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gplus
ms400759,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gplus
ms400759,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gplus
ms400758,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gminus
ms400758,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gminus
ms400758,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gminus
ms400758,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gminus
ms400758,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gminus
ms400774,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gc
ms400774,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gc
ms400774,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gc
ms400774,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gc
ms400774,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gc
ms400804,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gcg
ms400804,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gcg
ms400804,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gcg
ms400804,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gcg
ms400804,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gcg
ms400799,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gd
ms400799,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gd
ms400799,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gd
ms400799,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gd
ms400799,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gd
ms400812,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gud
ms400812,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gud
ms400812,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gud
ms400812,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gud
ms400812,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gud
ms400768,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gun
ms400768,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gun
ms400768,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gun
ms400768,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gun
ms400768,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#gun
ms400794,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#i
ms400794,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#i
ms400794,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#i
ms400794,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#i
ms400794,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#i
ms400782,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#im
ms400782,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#im
ms400782,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#im
ms400782,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#im
ms400782,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#im
ms400806,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#imx
ms400806,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#imx
ms400806,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#imx
